ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9895938,HX546366,12/17/2014 11:54:00 PM,031XX N MILWAUKEE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,2523,025,31,21,18,1150282,1920763,2014,12/24/2014 12:48:14 PM,41.938480234,-87.723089736,"(41.938480234, -87.723089736)"
9895984,HX546357,12/17/2014 11:48:00 PM,076XX S COLFAX AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0421,004,7,43,04B,1194807,1854932,2014,12/24/2014 12:48:14 PM,41.756851558,-87.561626942,"(41.756851558, -87.561626942)"
9896029,HX546358,12/17/2014 11:40:00 PM,028XX E 83RD ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,true,false,0423,004,7,46,26,1196287,1850518,2014,12/24/2014 12:48:14 PM,41.744702653,-87.556349198,"(41.744702653, -87.556349198)"
9895885,HX546350,12/17/2014 11:35:00 PM,069XX S ARTESIAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0832,008,15,66,14,1161196,1858710,2014,12/24/2014 12:48:14 PM,41.76798027,-87.684700917,"(41.76798027, -87.684700917)"
9896201,HX546360,12/17/2014 11:33:00 PM,062XX N HOYNE AVE,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2413,024,50,2,08B,1161142,1941588,2014,12/24/2014 12:48:14 PM,41.99540594,-87.682595369,"(41.99540594, -87.682595369)"
9895934,HX546354,12/17/2014 11:31:00 PM,116XX S CHURCH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2212,022,19,75,08B,1165333,1827619,2014,12/24/2014 12:48:14 PM,41.68257511,-87.670414474,"(41.68257511, -87.670414474)"
9895986,HX546371,12/17/2014 11:30:00 PM,056XX N KIMBALL AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,1711,017,39,13,08B,1152657,1937236,2014,12/24/2014 12:48:14 PM,41.983636516,-87.713923375,"(41.983636516, -87.713923375)"
9895930,HX546387,12/17/2014 11:30:00 PM,0000X N KILBOURN AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,011,28,26,16,1146344,1899876,2014,12/24/2014 12:48:14 PM,41.881240166,-87.738095645,"(41.881240166, -87.738095645)"
9896493,HX546715,12/17/2014 11:30:00 PM,039XX W 84TH ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,0834,008,18,70,05,1151484,1848535,2014,12/24/2014 12:48:14 PM,41.74025382,-87.720565894,"(41.74025382, -87.720565894)"
9896231,HX546567,12/17/2014 11:30:00 PM,015XX W 48TH ST,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,"SCHOOL, PUBLIC, GROUNDS",false,false,0933,009,20,61,03,1166891,1872941,2014,12/24/2014 12:48:14 PM,41.806912125,-87.663419622,"(41.806912125, -87.663419622)"
